libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.3.0-1
libxkbcommon-x11 1.3.0-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.12-2
libxmu 1.1.3-2
libxnvctrl 470.57.02-1
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxres 1.2.1-1
libxshmfence 1.3-2
libxslt 1.1.34-6
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
libzip 1.7.3-2
licenses 20200427-1
lilv 0.24.12-1
linux 5.13.6.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20210716.b7c134f-1
linux-zen 5.13.6.zen1-1
llvm-libs 12.0.1-2
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lokalize 21.04.3-1
lsb-release 1.4-18
lskat 21.04.3-1
lsof 4.94.0-1
lttng-ust 2.12.0-3
lua52 5.2.4-5
lutris 0.5.8.4-1
lvm2 2.03.12-1
lxappearance 0.6.3-4
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.19-1
maeparser 1.2.4-4
mailcommon 21.04.3-1
mailimporter 21.04.3-1
make 4.3-3
man-db 2.9.4-2
mangohud-common-git 0.6.3-1
mangohud-git 0.6.3-1
marble 21.04.3-1
marble-common 21.04.3-1
mariadb 10.6.3-1
mariadb-clients 10.6.3-1
mariadb-libs 10.6.3-1
markdownpart 21.04.3-1
mbedtls 2.27.0-1
mbox-importer 21.04.3-1
md4c 0.4.8-1
mdadm 4.1-2
media-player-info 24-2
mesa 21.1.5-1
mesa-demos 8.4.0-4
meson 0.59.0-2
messagelib 21.04.3-1
milou 5.22.4-1
mimic 1.3.0.1-2
minizip 1:1.2.11-4
minuet 21.04.3-2
mjpegtools 2.2.0-1
mkinitcpio 30-2
mkinitcpio-busybox 1.33.1-1
mlt6 6.26.1-4
mobile-broadband-provider-info 20201225-1
modemmanager 1.16.8-1
molequeue 0.9.0-2
mono 6.12.0.122-1
mpfr 4.1.0.p13-1
mpg123 1.28.2-1
mtdev 1.1.6-1
mtools 1:4.0.34-1
multimc-git 0.6.12.r112.gdf1d3dba-1
mycroft-core 21.2.0-2
nano 5.8-1
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.31.2-1
net-snmp 5.9.1-1
netpbm 10.73.34-1
netstandard-targeting-pack 5.0.8.sdk205-1
nettle 3.7.3-1
networkmanager 1.32.6-1
networkmanager-qt 5.84.0-1
nftables 1:0.9.9-6
nilfs-utils 2.2.8-2
ninja 1.10.2-1
node-gyp 8.1.0-2
nodejs 16.5.0-1
nodejs-nopt 5.0.0-2
noto-fonts 20201226-2
npm 7.20.2-1
npth 1.6-3
nspr 4.32-1
nss 3.68-1
ntfs-3g 2017.3.23-5
numactl 2.0.14-1
obs-studio 27.0.1-2
okular 21.04.3-2
oniguruma 6.9.7.1-1
openal 1.21.1-1
openbabel 3.1.1-2
openbsd-netcat 1.217_2-1
opencolorio1 1.1.1-3
opencore-amr 0.1.5-5
openexr 3.0.5-2
openjpeg2 2.4.0-1
openmpi 4.1.1-2
openssh 8.6p1-1
openssl 1.1.1.k-1
openssl-1.0 1.0.2.u-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.79-1
osinfo-db 20210531-1
ostree 2021.3-1
p11-kit 0.24.0-1
p7zip 1:17.04-1
package-query 1.12-1
pacman 6.0.0-5
pacman-mirrorlist 20210718-1
palapeli 21.04.3-1
pam 1.5.1-1
pamac-all 10.1.3-3
pambase 20210605-2
pango 1:1.48.7-1
pangomm 2.46.1-2
parley 21.04.3-1
parted 3.4-2
partitionmanager 21.04.3-1
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.37-1
perl 5.34.0-2
perl-anyevent 4:7.17-4
perl-anyevent-i3 0.17-7
perl-common-sense 3.75-3
